,speaker,line_count,total_line_series,norm_line_count
0,Andy,4041,55458,0.07286595261278805
1,Angela,1734,55458,0.0312669046846262
2,Charles,227,55458,0.004093187637491435
3,Creed,467,55458,0.00842078690179956
4,Darryl,1261,55458,0.02273792780121894
5,David,390,55458,0.007032348804500703
6,Deangelo,172,55458,0.003101446139420823
7,Dwight,7766,55458,0.14003389952757042
8,Erin,1497,55458,0.02699340041112193
9,Gabe,447,55458,0.008060153629773883
10,Holly,610,55458,0.010999314796783151
11,Jan,962,55458,0.017346460384435068
12,Jim,6918,55458,0.1247430487936817
13,Jo,196,55458,0.0035342060658516356
14,Karen,346,55458,0.006238955606044214
15,Kelly,978,55458,0.01763496700205561
16,Kevin,1772,55458,0.03195210790147499
17,Meredith,655,55458,0.011810739658840925
18,Michael,12522,55458,0.22579249161527642
19,Nellie,544,55458,0.009809224999098417
20,Oscar,1520,55458,0.027408128673951457
21,Pam,5518,55458,0.0994987197518843
22,Phyllis,1092,55458,0.01969057665260197
23,Robert,456,55458,0.008222438602185437
24,Roy,257,55458,0.00463413754552995
25,Ryan,1395,55458,0.02515417072379098
26,Stanley,765,55458,0.013794222654982148
27,Toby,950,55458,0.017130080421219662
