,speaker,word_count,total_word_series,norm_word_count
0,Andy,49634,631561,0.0785893999154476
1,Angela,15490,631561,0.024526530295569234
2,Charles,1894,631561,0.0029989185526022033
3,Creed,4784,631561,0.007574881919561214
4,Darryl,12160,631561,0.019253880464436532
5,David,4242,631561,0.006716690865965441
6,Deangelo,2276,631561,0.00360376907377118
7,Dwight,92168,631561,0.1459368137044561
8,Erin,13776,631561,0.021812619841947177
9,Gabe,6267,631561,0.009923031979492083
10,Holly,5186,631561,0.00821140000728354
11,Jan,9926,631561,0.015716613280427387
12,Jim,66666,631561,0.10555749959228009
13,Jo,3030,631561,0.004797636332832458
14,Karen,2967,631561,0.004697883498189407
15,Kelly,11252,631561,0.01781617294291446
16,Kevin,14947,631561,0.02366675586364579
17,Meredith,5314,631561,0.008414072433224978
18,Michael,188905,631561,0.29910808298802494
19,Nellie,7268,631561,0.011507993685487229
20,Oscar,13659,631561,0.02162736457761008
21,Pam,52040,631561,0.08239900817181554
22,Phyllis,8828,631561,0.013978063876648494
23,Robert,6633,631561,0.01050254844741838
24,Roy,2192,631561,0.0034707652942471117
25,Ryan,14001,631561,0.022168879965672357
26,Stanley,6571,631561,0.010404378991102997
27,Toby,9485,631561,0.015018343437926027
